
===================================================================================================

 365 dataset shape: 400x3x256x256

 Original set has 398 images; For each angle, take no more than 25 images>>>
  0%|          | 0/397 [00:00<?, ?it/s]100%|██████████| 397/397 [00:00<00:00, 148355.19it/s]398 images left and there are 397 unique labels

 Range of unnormalized labels: (16.913,38.532)

 Range of normalized labels: (0.42599332535734524,0.9705182293306466)

 Use rule-of-thumb formula to compute kernel_sigma >>>

 The std of 398 labels is 0.10931705898979509 so the kernel sigma is 0.03499590186283715

 /home/ylab3/improved_CcGAN/365_data/RC-49_256x256/CcGAN-improved/output/embed_models/ckpt_ResNet34_embed_epoch_200_seed_2021.pth

 /home/ylab3/improved_CcGAN/365_data/RC-49_256x256/CcGAN-improved/output/embed_models/ckpt_net_y2h_epoch_500_seed_2021.pth

 Start training CNN for label embedding >>>
Train net_x2y for embedding: [epoch 1/200] train_loss:0.271864 Time:5.9594
Train net_x2y for embedding: [epoch 2/200] train_loss:0.181770 Time:7.3148
Train net_x2y for embedding: [epoch 3/200] train_loss:0.119911 Time:8.6692
Train net_x2y for embedding: [epoch 4/200] train_loss:0.098113 Time:10.0570
Train net_x2y for embedding: [epoch 5/200] train_loss:0.072702 Time:11.4134
Train net_x2y for embedding: [epoch 6/200] train_loss:0.058201 Time:12.7705
Train net_x2y for embedding: [epoch 7/200] train_loss:0.039543 Time:14.1305
Train net_x2y for embedding: [epoch 8/200] train_loss:0.027416 Time:15.5224
Train net_x2y for embedding: [epoch 9/200] train_loss:0.029032 Time:16.8889
Train net_x2y for embedding: [epoch 10/200] train_loss:0.022072 Time:18.2516
Train net_x2y for embedding: [epoch 11/200] train_loss:0.014748 Time:19.6121
Train net_x2y for embedding: [epoch 12/200] train_loss:0.013894 Time:20.9714
Train net_x2y for embedding: [epoch 13/200] train_loss:0.009757 Time:22.3213
Train net_x2y for embedding: [epoch 14/200] train_loss:0.007544 Time:23.6749
Train net_x2y for embedding: [epoch 15/200] train_loss:0.007446 Time:25.0286
Train net_x2y for embedding: [epoch 16/200] train_loss:0.003351 Time:26.3818
Train net_x2y for embedding: [epoch 17/200] train_loss:0.002926 Time:27.7325
Train net_x2y for embedding: [epoch 18/200] train_loss:0.005177 Time:29.0818
Train net_x2y for embedding: [epoch 19/200] train_loss:0.004204 Time:30.4350
Train net_x2y for embedding: [epoch 20/200] train_loss:0.003494 Time:31.7915
Train net_x2y for embedding: [epoch 21/200] train_loss:0.003090 Time:33.1446
Train net_x2y for embedding: [epoch 22/200] train_loss:0.006308 Time:34.4973
Train net_x2y for embedding: [epoch 23/200] train_loss:0.001948 Time:35.8541
Train net_x2y for embedding: [epoch 24/200] train_loss:0.002135 Time:37.2026
Train net_x2y for embedding: [epoch 25/200] train_loss:0.001571 Time:38.5471
Train net_x2y for embedding: [epoch 26/200] train_loss:0.002299 Time:39.8888
Train net_x2y for embedding: [epoch 27/200] train_loss:0.001351 Time:41.2372
Train net_x2y for embedding: [epoch 28/200] train_loss:0.001608 Time:42.5819
Train net_x2y for embedding: [epoch 29/200] train_loss:0.001116 Time:44.0304
Train net_x2y for embedding: [epoch 30/200] train_loss:0.001380 Time:45.3966
Train net_x2y for embedding: [epoch 31/200] train_loss:0.001176 Time:46.7678
Train net_x2y for embedding: [epoch 32/200] train_loss:0.000884 Time:48.1253
Train net_x2y for embedding: [epoch 33/200] train_loss:0.000574 Time:49.4831
Train net_x2y for embedding: [epoch 34/200] train_loss:0.000841 Time:50.8424
Train net_x2y for embedding: [epoch 35/200] train_loss:0.001553 Time:52.1982
Train net_x2y for embedding: [epoch 36/200] train_loss:0.001034 Time:53.5601
Train net_x2y for embedding: [epoch 37/200] train_loss:0.001449 Time:54.9168
Train net_x2y for embedding: [epoch 38/200] train_loss:0.001270 Time:56.2794
Train net_x2y for embedding: [epoch 39/200] train_loss:0.001526 Time:57.6381
Train net_x2y for embedding: [epoch 40/200] train_loss:0.000829 Time:58.9933
Train net_x2y for embedding: [epoch 41/200] train_loss:0.000524 Time:60.3536
Train net_x2y for embedding: [epoch 42/200] train_loss:0.000685 Time:61.7133
Train net_x2y for embedding: [epoch 43/200] train_loss:0.001317 Time:63.0696
Train net_x2y for embedding: [epoch 44/200] train_loss:0.000715 Time:64.4289
Train net_x2y for embedding: [epoch 45/200] train_loss:0.001430 Time:65.7865
Train net_x2y for embedding: [epoch 46/200] train_loss:0.000421 Time:67.1434
Train net_x2y for embedding: [epoch 47/200] train_loss:0.001047 Time:68.4978
Train net_x2y for embedding: [epoch 48/200] train_loss:0.000818 Time:69.8511
Train net_x2y for embedding: [epoch 49/200] train_loss:0.000558 Time:71.2039
Train net_x2y for embedding: [epoch 50/200] train_loss:0.001198 Time:72.5544
Train net_x2y for embedding: [epoch 51/200] train_loss:0.001059 Time:74.1920
Train net_x2y for embedding: [epoch 52/200] train_loss:0.000985 Time:75.6541
Train net_x2y for embedding: [epoch 53/200] train_loss:0.001098 Time:77.0264
Train net_x2y for embedding: [epoch 54/200] train_loss:0.000846 Time:78.3816
Train net_x2y for embedding: [epoch 55/200] train_loss:0.000558 Time:79.7374
Train net_x2y for embedding: [epoch 56/200] train_loss:0.000415 Time:81.0916
Train net_x2y for embedding: [epoch 57/200] train_loss:0.000770 Time:82.4420
Train net_x2y for embedding: [epoch 58/200] train_loss:0.000686 Time:83.8007
Train net_x2y for embedding: [epoch 59/200] train_loss:0.000808 Time:85.1519
Train net_x2y for embedding: [epoch 60/200] train_loss:0.000775 Time:86.5035
Train net_x2y for embedding: [epoch 61/200] train_loss:0.000325 Time:87.8541
Train net_x2y for embedding: [epoch 62/200] train_loss:0.001226 Time:89.2052
Train net_x2y for embedding: [epoch 63/200] train_loss:0.001267 Time:90.5584
Train net_x2y for embedding: [epoch 64/200] train_loss:0.000501 Time:91.9091
Train net_x2y for embedding: [epoch 65/200] train_loss:0.000889 Time:93.3257
Train net_x2y for embedding: [epoch 66/200] train_loss:0.001004 Time:94.6774
Train net_x2y for embedding: [epoch 67/200] train_loss:0.000379 Time:96.0281
Train net_x2y for embedding: [epoch 68/200] train_loss:0.000640 Time:97.3787
Train net_x2y for embedding: [epoch 69/200] train_loss:0.000210 Time:98.7300
Train net_x2y for embedding: [epoch 70/200] train_loss:0.000852 Time:100.0769
Train net_x2y for embedding: [epoch 71/200] train_loss:0.000652 Time:101.4237
Train net_x2y for embedding: [epoch 72/200] train_loss:0.000964 Time:102.7713
Train net_x2y for embedding: [epoch 73/200] train_loss:0.000479 Time:104.1192
Train net_x2y for embedding: [epoch 74/200] train_loss:0.000792 Time:105.5900
Train net_x2y for embedding: [epoch 75/200] train_loss:0.000567 Time:106.9495
Train net_x2y for embedding: [epoch 76/200] train_loss:0.000404 Time:108.3230
Train net_x2y for embedding: [epoch 77/200] train_loss:0.000433 Time:109.6872
Train net_x2y for embedding: [epoch 78/200] train_loss:0.000356 Time:111.0782
Train net_x2y for embedding: [epoch 79/200] train_loss:0.000533 Time:112.4263
Train net_x2y for embedding: [epoch 80/200] train_loss:0.000522 Time:113.7759
Train net_x2y for embedding: [epoch 81/200] train_loss:0.000341 Time:115.1208
Train net_x2y for embedding: [epoch 82/200] train_loss:0.000415 Time:116.4688
Train net_x2y for embedding: [epoch 83/200] train_loss:0.000514 Time:117.8138
Train net_x2y for embedding: [epoch 84/200] train_loss:0.000342 Time:119.1667
Train net_x2y for embedding: [epoch 85/200] train_loss:0.000213 Time:120.5255
Train net_x2y for embedding: [epoch 86/200] train_loss:0.000412 Time:121.8699
Train net_x2y for embedding: [epoch 87/200] train_loss:0.000471 Time:123.2178
Train net_x2y for embedding: [epoch 88/200] train_loss:0.000239 Time:124.5636
Train net_x2y for embedding: [epoch 89/200] train_loss:0.000408 Time:125.9127
Train net_x2y for embedding: [epoch 90/200] train_loss:0.000349 Time:127.2572
Train net_x2y for embedding: [epoch 91/200] train_loss:0.000559 Time:128.6060
Train net_x2y for embedding: [epoch 92/200] train_loss:0.000543 Time:129.9492
Train net_x2y for embedding: [epoch 93/200] train_loss:0.000848 Time:131.2953
Train net_x2y for embedding: [epoch 94/200] train_loss:0.000419 Time:132.6411
Train net_x2y for embedding: [epoch 95/200] train_loss:0.000306 Time:133.9903
Train net_x2y for embedding: [epoch 96/200] train_loss:0.000335 Time:135.3374
Train net_x2y for embedding: [epoch 97/200] train_loss:0.000268 Time:136.6842
Train net_x2y for embedding: [epoch 98/200] train_loss:0.000158 Time:138.0787
Train net_x2y for embedding: [epoch 99/200] train_loss:0.000766 Time:139.4250
Train net_x2y for embedding: [epoch 100/200] train_loss:0.000737 Time:140.7721
Train net_x2y for embedding: [epoch 101/200] train_loss:0.000565 Time:142.4047
Train net_x2y for embedding: [epoch 102/200] train_loss:0.000396 Time:143.7556
Train net_x2y for embedding: [epoch 103/200] train_loss:0.000243 Time:145.1052
Train net_x2y for embedding: [epoch 104/200] train_loss:0.000350 Time:146.4543
Train net_x2y for embedding: [epoch 105/200] train_loss:0.000300 Time:147.8016
Train net_x2y for embedding: [epoch 106/200] train_loss:0.000455 Time:149.1498
Train net_x2y for embedding: [epoch 107/200] train_loss:0.000331 Time:150.5017
Train net_x2y for embedding: [epoch 108/200] train_loss:0.000312 Time:151.8482
Train net_x2y for embedding: [epoch 109/200] train_loss:0.000548 Time:153.1961
Train net_x2y for embedding: [epoch 110/200] train_loss:0.000364 Time:154.5442
Train net_x2y for embedding: [epoch 111/200] train_loss:0.000379 Time:155.8907
Train net_x2y for embedding: [epoch 112/200] train_loss:0.000493 Time:157.2384
Train net_x2y for embedding: [epoch 113/200] train_loss:0.000385 Time:158.5905
Train net_x2y for embedding: [epoch 114/200] train_loss:0.000301 Time:159.9391
Train net_x2y for embedding: [epoch 115/200] train_loss:0.000479 Time:161.2873
Train net_x2y for embedding: [epoch 116/200] train_loss:0.000612 Time:162.6331
Train net_x2y for embedding: [epoch 117/200] train_loss:0.000295 Time:163.9720
Train net_x2y for embedding: [epoch 118/200] train_loss:0.000275 Time:165.3104
Train net_x2y for embedding: [epoch 119/200] train_loss:0.000446 Time:166.6465
Train net_x2y for embedding: [epoch 120/200] train_loss:0.000583 Time:167.9826
Train net_x2y for embedding: [epoch 121/200] train_loss:0.000455 Time:169.3199
Train net_x2y for embedding: [epoch 122/200] train_loss:0.000190 Time:170.6601
Train net_x2y for embedding: [epoch 123/200] train_loss:0.000405 Time:171.9978
Train net_x2y for embedding: [epoch 124/200] train_loss:0.000926 Time:173.3397
Train net_x2y for embedding: [epoch 125/200] train_loss:0.000287 Time:174.6974
Train net_x2y for embedding: [epoch 126/200] train_loss:0.000406 Time:176.0486
Train net_x2y for embedding: [epoch 127/200] train_loss:0.000592 Time:177.3993
Train net_x2y for embedding: [epoch 128/200] train_loss:0.000357 Time:178.7507
Train net_x2y for embedding: [epoch 129/200] train_loss:0.000240 Time:180.0984
Train net_x2y for embedding: [epoch 130/200] train_loss:0.000248 Time:181.4526
Train net_x2y for embedding: [epoch 131/200] train_loss:0.000508 Time:182.8100
Train net_x2y for embedding: [epoch 132/200] train_loss:0.000237 Time:184.1633
Train net_x2y for embedding: [epoch 133/200] train_loss:0.000166 Time:185.5205
Train net_x2y for embedding: [epoch 134/200] train_loss:0.000421 Time:186.8720
Train net_x2y for embedding: [epoch 135/200] train_loss:0.000723 Time:188.2234
Train net_x2y for embedding: [epoch 136/200] train_loss:0.000244 Time:189.5755
Train net_x2y for embedding: [epoch 137/200] train_loss:0.000625 Time:190.9269
Train net_x2y for embedding: [epoch 138/200] train_loss:0.000505 Time:192.2776
Train net_x2y for embedding: [epoch 139/200] train_loss:0.001118 Time:193.6288
Train net_x2y for embedding: [epoch 140/200] train_loss:0.000317 Time:194.9776
Train net_x2y for embedding: [epoch 141/200] train_loss:0.000287 Time:196.3321
Train net_x2y for embedding: [epoch 142/200] train_loss:0.000390 Time:197.6857
Train net_x2y for embedding: [epoch 143/200] train_loss:0.000462 Time:199.0398
Train net_x2y for embedding: [epoch 144/200] train_loss:0.000276 Time:200.3928
Train net_x2y for embedding: [epoch 145/200] train_loss:0.000680 Time:201.7451
Train net_x2y for embedding: [epoch 146/200] train_loss:0.000249 Time:203.0981
Train net_x2y for embedding: [epoch 147/200] train_loss:0.000549 Time:204.4508
Train net_x2y for embedding: [epoch 148/200] train_loss:0.000406 Time:205.8025
Train net_x2y for embedding: [epoch 149/200] train_loss:0.000299 Time:207.1552
Train net_x2y for embedding: [epoch 150/200] train_loss:0.000478 Time:208.5225
Train net_x2y for embedding: [epoch 151/200] train_loss:0.000523 Time:210.1562
Train net_x2y for embedding: [epoch 152/200] train_loss:0.000289 Time:211.5111
Train net_x2y for embedding: [epoch 153/200] train_loss:0.000294 Time:212.8666
Train net_x2y for embedding: [epoch 154/200] train_loss:0.000208 Time:214.2155
Train net_x2y for embedding: [epoch 155/200] train_loss:0.000218 Time:215.5668
Train net_x2y for embedding: [epoch 156/200] train_loss:0.000262 Time:216.9171
Train net_x2y for embedding: [epoch 157/200] train_loss:0.000387 Time:218.2657
Train net_x2y for embedding: [epoch 158/200] train_loss:0.000419 Time:219.6134
Train net_x2y for embedding: [epoch 159/200] train_loss:0.000488 Time:220.9621
Train net_x2y for embedding: [epoch 160/200] train_loss:0.000359 Time:222.3095
Train net_x2y for embedding: [epoch 161/200] train_loss:0.000208 Time:223.6589
Train net_x2y for embedding: [epoch 162/200] train_loss:0.000142 Time:225.0064
Train net_x2y for embedding: [epoch 163/200] train_loss:0.000255 Time:226.3559
Train net_x2y for embedding: [epoch 164/200] train_loss:0.000343 Time:227.7047
Train net_x2y for embedding: [epoch 165/200] train_loss:0.000186 Time:229.0515
Train net_x2y for embedding: [epoch 166/200] train_loss:0.000319 Time:230.3968
Train net_x2y for embedding: [epoch 167/200] train_loss:0.000226 Time:231.7467
Train net_x2y for embedding: [epoch 168/200] train_loss:0.000334 Time:233.0925
Train net_x2y for embedding: [epoch 169/200] train_loss:0.000443 Time:234.4407
Train net_x2y for embedding: [epoch 170/200] train_loss:0.000215 Time:235.7897
Train net_x2y for embedding: [epoch 171/200] train_loss:0.000378 Time:237.1378
Train net_x2y for embedding: [epoch 172/200] train_loss:0.000476 Time:238.4872
Train net_x2y for embedding: [epoch 173/200] train_loss:0.000205 Time:239.8367
Train net_x2y for embedding: [epoch 174/200] train_loss:0.000304 Time:241.1875
Train net_x2y for embedding: [epoch 175/200] train_loss:0.000230 Time:242.5797
Train net_x2y for embedding: [epoch 176/200] train_loss:0.000332 Time:243.9321
Train net_x2y for embedding: [epoch 177/200] train_loss:0.000436 Time:245.3212
Train net_x2y for embedding: [epoch 178/200] train_loss:0.000150 Time:246.7323
Train net_x2y for embedding: [epoch 179/200] train_loss:0.000394 Time:248.1034
Train net_x2y for embedding: [epoch 180/200] train_loss:0.000114 Time:249.4584
Train net_x2y for embedding: [epoch 181/200] train_loss:0.000245 Time:250.8169
Train net_x2y for embedding: [epoch 182/200] train_loss:0.000507 Time:252.1706
Train net_x2y for embedding: [epoch 183/200] train_loss:0.000228 Time:253.5295
Train net_x2y for embedding: [epoch 184/200] train_loss:0.000465 Time:254.8944
Train net_x2y for embedding: [epoch 185/200] train_loss:0.000254 Time:256.2552
Train net_x2y for embedding: [epoch 186/200] train_loss:0.000499 Time:257.6191
Train net_x2y for embedding: [epoch 187/200] train_loss:0.000229 Time:258.9773
Train net_x2y for embedding: [epoch 188/200] train_loss:0.000174 Time:260.3381
Train net_x2y for embedding: [epoch 189/200] train_loss:0.000177 Time:261.6939
Train net_x2y for embedding: [epoch 190/200] train_loss:0.000345 Time:263.0533
